timestamp,Gas,Smoke,Temperature,Flame
0,180,310,38.50,0
2000,159,315,38.50,0
4000,176,315,38.50,0
6000,181,255,38.50,0
8000,181,319,38.50,0
10000,176,305,38.50,0
12000,177,294,38.50,0
14000,178,317,38.50,0
16000,195,325,38.50,0
18000,172,311,38.50,0
20000,176,302,38.50,0
22000,173,299,38.50,0
24000,191,299,38.50,0
26000,173,321,38.50,0
28000,169,315,38.50,0
30000,182,335,38.50,0
32000,186,297,38.50,0
34000,189,304,38.50,0
36000,176,313,38.50,0
38000,178,320,38.50,0
40000,176,309,38.50,0
42000,187,303,38.50,0
44000,160,310,38.50,0
46000,183,305,38.50,0
48000,187,285,38.50,0
50000,183,302,38.50,0
52000,171,303,38.50,0
54000,173,306,38.50,0
56000,179,305,38.50,0
58000,197,304,38.50,0
60000,172,315,38.50,0
62000,176,308,38.50,0
64000,177,292,38.50,0
66000,208,322,38.50,0
68000,179,321,38.50,0
70000,176,299,38.50,0
72000,189,323,38.50,0